Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	3.78567e-05	0.000151218	33062.3	3.44131e-05	0.000137175	36447.3
1010	1.33278e-05	5.33305e-05	93752.5	1.28406e-05	5.12846e-05	97492.6
2010	1.61881e-05	6.46777e-05	77303.9	1.42241e-05	5.66932e-05	88191.5
3010	1.31072e-05	5.25061e-05	95224.5	1.39116e-05	5.55248e-05	90047.3
4010	1.30013e-05	5.19322e-05	96276.9	1.21406e-05	4.90028e-05	102032.0
5010	1.17862e-05	4.71311e-05	106085.0	1.25416e-05	5.00496e-05	99898.5
6010	1.49782e-05	5.98309e-05	83566.4	1.53254e-05	6.11341e-05	81785.0
7010	1.65524e-05	6.61404e-05	75594.2	1.41594e-05	5.6537e-05	88435.1
8010	1.17693e-05	4.70136e-05	106350.0	1.24824e-05	5.00942e-05	99809.4
9010	1.35853e-05	5.42821e-05	92108.9	1.24185e-05	4.96475e-05	100708.0
10010	1.39508e-05	5.57542e-05	89676.9	1.10901e-05	4.44947e-05	112371.0
