Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	9.03008e-06	3.61016e-05	138496.0	8.82591e-06	3.53651e-05	141380.0
1010	6.18861e-06	2.47208e-05	202256.0	6.55521e-06	2.61742e-05	191025.0
2010	5.66278e-06	2.28495e-05	218820.0	6.1522e-06	2.46157e-05	203120.0
3010	5.93415e-06	2.37022e-05	210949.0	6.83085e-06	2.73523e-05	182797.0
4010	6.41886e-06	2.56578e-05	194870.0	6.29871e-06	2.51683e-05	198660.0
5010	5.55175e-06	2.22671e-05	224544.0	5.17542e-06	2.06351e-05	242303.0
6010	5.7205e-06	2.28528e-05	218789.0	5.55597e-06	2.21806e-05	225419.0
7010	5.69103e-06	2.27316e-05	219956.0	5.62308e-06	2.24156e-05	223056.0
8010	5.98921e-06	2.39268e-05	208968.0	6.03253e-06	2.40823e-05	207619.0
9010	6.34548e-06	2.53957e-05	196881.0	5.85564e-06	2.33534e-05	214099.0
10010	5.88355e-06	2.35003e-05	212761.0	6.14361e-06	2.44876e-05	204182.0
