Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.27371e-06	9.08169e-06	550556.0	2.06089e-06	8.23128e-06	607436.0
1010	2.3372e-06	9.33641e-06	535535.0	2.62603e-06	1.04834e-05	476942.0
2010	2.55822e-06	1.02197e-05	489247.0	2.87227e-06	1.14705e-05	435897.0
3010	2.52751e-06	1.00991e-05	495089.0	2.48477e-06	9.91578e-06	504244.0
4010	2.77855e-06	1.10981e-05	450523.0	2.44631e-06	9.77184e-06	511672.0
5010	2.60716e-06	1.04135e-05	480141.0	2.01582e-06	8.15291e-06	613276.0
6010	2.59255e-06	1.03578e-05	482726.0	2.74633e-06	1.09512e-05	456570.0
7010	2.21175e-06	8.84211e-06	565474.0	2.26588e-06	9.03132e-06	553626.0
8010	2.69667e-06	1.07811e-05	463771.0	2.78637e-06	1.11186e-05	449695.0
9010	2.7967e-06	1.11744e-05	447449.0	2.76515e-06	1.10318e-05	453234.0
10010	2.57584e-06	1.02885e-05	485976.0	2.35e-06	9.3684e-06	533707.0
