Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	6.36778e-06	2.54344e-05	196582.0	6.26965e-06	2.50204e-05	199834.0
1010	3.2384e-06	1.29352e-05	386540.0	2.90849e-06	1.16188e-05	430334.0
2010	3.21456e-06	1.28626e-05	388721.0	3.48666e-06	1.39875e-05	357460.0
3010	2.97235e-06	1.1892e-05	420447.0	3.05213e-06	1.21667e-05	410956.0
4010	3.16253e-06	1.26363e-05	395684.0	3.07718e-06	1.25743e-05	397635.0
5010	3.21471e-06	1.29305e-05	386681.0	3.14054e-06	1.25391e-05	398750.0
6010	3.15406e-06	1.26866e-05	394115.0	3.43009e-06	1.37896e-05	362590.0
7010	3.4263e-06	1.36981e-05	365012.0	2.7508e-06	1.10548e-05	452291.0
8010	3.05591e-06	1.22077e-05	409574.0	2.81443e-06	1.12275e-05	445334.0
9010	3.12659e-06	1.25003e-05	399988.0	3.61136e-06	1.43964e-05	347306.0
10010	3.19643e-06	1.27693e-05	391563.0	3.25536e-06	1.30277e-05	383796.0
