Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.80834e-06	1.12353e-05	445023.0	2.64519e-06	1.05433e-05	474233.0
1010	3.30782e-06	1.3243e-05	377554.0	2.84244e-06	1.13525e-05	440430.0
2010	3.2155e-06	1.28898e-05	387903.0	3.25733e-06	1.29859e-05	385031.0
3010	3.03514e-06	1.21229e-05	412439.0	2.74243e-06	1.1058e-05	452158.0
4010	2.93404e-06	1.17418e-05	425828.0	3.04106e-06	1.21213e-05	412496.0
5010	2.57132e-06	1.03029e-05	485299.0	3.03049e-06	1.20962e-05	413349.0
6010	3.07014e-06	1.22643e-05	407685.0	2.9038e-06	1.1622e-05	430217.0
7010	3.17063e-06	1.26641e-05	394813.0	3.07498e-06	1.22878e-05	406907.0
8010	2.70554e-06	1.08066e-05	462676.0	3.6884e-06	1.4701e-05	340110.0
9010	3.13107e-06	1.25066e-05	399785.0	2.90874e-06	1.15934e-05	431276.0
10010	3.01947e-06	1.20713e-05	414202.0	3.10778e-06	1.24422e-05	401855.0
