Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.38735e-06	9.56781e-06	522583.0	2.20146e-06	8.78814e-06	568946.0
1010	2.34162e-06	9.35404e-06	534526.0	2.88005e-06	1.14878e-05	435241.0
2010	2.53306e-06	1.01177e-05	494182.0	2.45504e-06	9.78616e-06	510923.0
3010	2.64459e-06	1.05634e-05	473332.0	2.49995e-06	9.97619e-06	501191.0
4010	2.42447e-06	9.69423e-06	515768.0	2.2772e-06	9.07643e-06	550875.0
5010	2.60266e-06	1.04117e-05	480224.0	3.19166e-06	1.27265e-05	392879.0
6010	2.74439e-06	1.09711e-05	455739.0	2.75374e-06	1.09835e-05	455227.0
7010	2.37389e-06	9.4822e-06	527301.0	2.30256e-06	9.17743e-06	544812.0
8010	2.30427e-06	9.20929e-06	542927.0	2.68522e-06	1.07533e-05	464972.0
9010	2.41183e-06	9.63856e-06	518747.0	2.13707e-06	8.52788e-06	586309.0
10010	2.58821e-06	1.03542e-05	482894.0	2.61009e-06	1.04225e-05	479729.0
