Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	0.00151563	0.00605437	823.347	0.000587965	0.00236644	2110.38
1010	7.01671e-05	0.000280455	17825.7	5.90874e-05	0.000235912	21191.8
2010	7.17497e-05	0.000286595	17443.7	5.89207e-05	0.000234862	21286.6
3010	8.10286e-05	0.000323741	15442.0	6.8581e-05	0.000273408	18285.2
4010	7.76174e-05	0.000310075	16122.6	5.72071e-05	0.000232738	21480.9
5010	6.31824e-05	0.000253535	19718.7	5.22413e-05	0.00020826	24005.9
6010	7.35086e-05	0.000293616	17026.6	6.58178e-05	0.000262345	19056.4
7010	6.37883e-05	0.000254895	19613.4	6.6148e-05	0.00026401	18936.1
8010	8.03816e-05	0.00032174	15538.0	5.84551e-05	0.000232987	21457.9
9010	7.4062e-05	0.000296586	16856.0	6.72698e-05	0.000268352	18629.8
10010	7.27646e-05	0.000291001	17179.6	5.83399e-05	0.000232527	21500.3
