Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	0.000256019	0.00102259	4887.05	0.000126226	0.000503168	9934.54
1010	4.0952e-05	0.000163656	30549.4	3.08563e-05	0.000123091	40617.8
2010	3.91209e-05	0.000156297	31988.0	2.89915e-05	0.000115558	43265.7
3010	3.86499e-05	0.000154449	32370.7	3.2705e-05	0.000130555	38295.6
4010	4.16114e-05	0.000166211	30079.7	3.17094e-05	0.000126523	39516.1
5010	4.19551e-05	0.000167624	29826.1	3.45632e-05	0.000139134	35934.1
6010	3.78387e-05	0.000151291	33046.3	3.58405e-05	0.000142991	34964.8
7010	4.04904e-05	0.00016221	30821.7	3.99809e-05	0.000159409	31363.4
8010	4.19045e-05	0.000167378	29870.1	3.92504e-05	0.000158176	31607.8
9010	3.76707e-05	0.00015091	33129.8	3.37987e-05	0.000134895	37063.5
10010	3.99732e-05	0.000159728	31300.6	3.46282e-05	0.000138404	36123.7
