Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	4.04463e-06	1.61665e-05	309280.0	3.7403e-06	1.49698e-05	334002.0
1010	3.14113e-06	1.2547e-05	398500.0	3.10507e-06	1.23925e-05	403466.0
2010	3.02798e-06	1.21135e-05	412759.0	3.37199e-06	1.3448e-05	371801.0
3010	2.88187e-06	1.15219e-05	433954.0	2.78063e-06	1.11109e-05	450006.0
4010	2.93733e-06	1.17347e-05	426083.0	3.04413e-06	1.21341e-05	412060.0
5010	3.19462e-06	1.27976e-05	390695.0	3.37441e-06	1.35128e-05	370018.0
6010	3.26888e-06	1.30577e-05	382913.0	3.24175e-06	1.29442e-05	386270.0
7010	3.15091e-06	1.25976e-05	396899.0	3.01261e-06	1.23358e-05	405322.0
8010	3.32478e-06	1.33198e-05	375380.0	3.24322e-06	1.2935e-05	386546.0
9010	3.2875e-06	1.31431e-05	380425.0	3.14506e-06	1.25405e-05	398707.0
10010	3.19099e-06	1.27548e-05	392008.0	3.70996e-06	1.47987e-05	337865.0
