Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	5.16231e-06	2.07001e-05	241543.0	4.39363e-06	1.75239e-05	285321.0
1010	5.06327e-06	2.02257e-05	247207.0	5.28473e-06	2.11034e-05	236926.0
2010	5.18301e-06	2.0757e-05	240881.0	4.64335e-06	1.85328e-05	269790.0
3010	4.49804e-06	1.7993e-05	277883.0	4.11542e-06	1.64037e-05	304806.0
4010	4.80158e-06	1.91979e-05	260443.0	4.7462e-06	1.90747e-05	262125.0
5010	4.75665e-06	1.9076e-05	262107.0	5.35569e-06	2.13648e-05	234027.0
6010	4.67715e-06	1.86864e-05	267572.0	5.15695e-06	2.10888e-05	237090.0
7010	5.06563e-06	2.02725e-05	246637.0	4.9105e-06	1.95761e-05	255411.0
8010	4.86099e-06	1.94377e-05	257230.0	4.72221e-06	1.88731e-05	264925.0
9010	4.99006e-06	2.00085e-05	249891.0	5.00462e-06	1.99775e-05	250278.0
10010	5.04108e-06	2.01909e-05	247634.0	4.70603e-06	1.87577e-05	266555.0
