Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	7.74384e-06	3.09367e-05	161618.0	5.11701e-06	2.04157e-05	244907.0
1010	3.49853e-06	1.39809e-05	357627.0	4.05352e-06	1.61647e-05	309313.0
2010	4.22954e-06	1.69291e-05	295347.0	3.86703e-06	1.54134e-05	324391.0
3010	4.11242e-06	1.64269e-05	304376.0	3.9194e-06	1.57454e-05	317551.0
4010	4.00765e-06	1.60078e-05	312345.0	3.68453e-06	1.46894e-05	340379.0
5010	4.70498e-06	1.8794e-05	266040.0	3.85558e-06	1.5371e-05	325286.0
6010	4.32947e-06	1.73024e-05	288975.0	4.52018e-06	1.8026e-05	277374.0
7010	4.27291e-06	1.71001e-05	292393.0	3.9009e-06	1.55634e-05	321264.0
