Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.98247e-06	1.19224e-05	419376.0	2.79488e-06	1.11495e-05	448448.0
1010	2.67656e-06	1.06936e-05	467568.0	2.48901e-06	9.98676e-06	500661.0
2010	2.39036e-06	9.5476e-06	523689.0	2.62088e-06	1.04809e-05	477055.0
3010	2.31777e-06	9.26032e-06	539935.0	2.79726e-06	1.11682e-05	447699.0
4010	2.82374e-06	1.12791e-05	443296.0	2.73037e-06	1.08924e-05	459034.0
5010	2.71141e-06	1.08794e-05	459584.0	2.31836e-06	9.26197e-06	539839.0
6010	2.54887e-06	1.01907e-05	490639.0	2.80655e-06	1.11967e-05	446558.0
7010	2.64868e-06	1.05793e-05	472617.0	2.48268e-06	9.90106e-06	504994.0
8010	2.66889e-06	1.06747e-05	468397.0	2.78018e-06	1.1093e-05	450731.0
9010	2.62017e-06	1.0474e-05	477370.0	2.84941e-06	1.13616e-05	440077.0
10010	2.63718e-06	1.05357e-05	474573.0	2.88738e-06	1.15234e-05	433898.0
