Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.2955e-06	9.1802e-06	544648.0	2.211e-06	8.82099e-06	566827.0
1010	2.63233e-06	1.0542e-05	474293.0	2.35579e-06	9.38951e-06	532507.0
2010	2.57664e-06	1.02976e-05	485546.0	2.5445e-06	1.01473e-05	492741.0
3010	2.66486e-06	1.065e-05	469480.0	2.70371e-06	1.07763e-05	463977.0
4010	2.52858e-06	1.01097e-05	494570.0	2.71799e-06	1.08803e-05	459543.0
5010	2.51255e-06	1.00595e-05	497038.0	2.37228e-06	9.45845e-06	528625.0
6010	2.46418e-06	9.84425e-06	507908.0	2.51355e-06	1.00433e-05	497841.0
7010	2.57986e-06	1.03328e-05	483892.0	2.31533e-06	9.38424e-06	532806.0
8010	2.64105e-06	1.05535e-05	473775.0	2.55177e-06	1.0173e-05	491497.0
9010	2.42422e-06	9.71049e-06	514905.0	2.6254e-06	1.04814e-05	477035.0
10010	2.4508e-06	9.78996e-06	510725.0	2.38574e-06	9.52069e-06	525169.0
