Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	3.95102e-06	1.58051e-05	316350.0	3.99964e-06	1.60095e-05	312311.0
1010	3.63128e-06	1.45201e-05	344348.0	3.23001e-06	1.29996e-05	384625.0
2010	3.40041e-06	1.36013e-05	367610.0	3.07605e-06	1.22777e-05	407241.0
3010	3.22184e-06	1.30612e-05	382811.0	3.59287e-06	1.43275e-05	348977.0
4010	3.02034e-06	1.20714e-05	414198.0	2.86094e-06	1.14104e-05	438193.0
5010	3.22991e-06	1.29012e-05	387558.0	2.83359e-06	1.13205e-05	441673.0
6010	3.51746e-06	1.40568e-05	355697.0	2.78361e-06	1.11044e-05	450271.0
7010	3.32146e-06	1.32668e-05	376877.0	3.40516e-06	1.36076e-05	367441.0
8010	3.17303e-06	1.26752e-05	394467.0	2.95945e-06	1.18162e-05	423145.0
9010	3.28704e-06	1.31545e-05	380096.0	3.09374e-06	1.25611e-05	398052.0
10010	3.32944e-06	1.32987e-05	375974.0	4.06337e-06	1.6277e-05	307179.0
