Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.16875e-06	8.66307e-06	577160.0	2.27554e-06	9.12813e-06	547755.0
1010	2.5114e-06	1.00429e-05	497860.0	2.90385e-06	1.16073e-05	430761.0
2010	2.38064e-06	9.50898e-06	525816.0	2.08936e-06	8.32762e-06	600409.0
3010	2.38368e-06	9.58018e-06	521909.0	2.92732e-06	1.17116e-05	426925.0
4010	2.51144e-06	1.00312e-05	498441.0	2.19266e-06	8.75364e-06	571189.0
5010	2.56416e-06	1.02593e-05	487363.0	2.50543e-06	9.98593e-06	500702.0
6010	2.49539e-06	9.96711e-06	501647.0	2.58811e-06	1.03201e-05	484491.0
7010	2.70467e-06	1.08282e-05	461753.0	2.35893e-06	9.44952e-06	529125.0
8010	2.40767e-06	9.61773e-06	519871.0	2.37792e-06	9.48114e-06	527360.0
9010	2.44212e-06	9.7646e-06	512051.0	2.30656e-06	9.21006e-06	542882.0
10010	2.30903e-06	9.22824e-06	541812.0	2.83761e-06	1.13302e-05	441297.0
