Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	1.95522e-05	7.81802e-05	63952.3	1.17432e-05	4.69085e-05	106588.0
1010	4.66448e-06	1.8631e-05	268367.0	3.52928e-06	1.40669e-05	355441.0
2010	4.36961e-06	1.74594e-05	286376.0	4.23202e-06	1.68683e-05	296412.0
3010	4.38938e-06	1.75487e-05	284919.0	3.81913e-06	1.52478e-05	327913.0
4010	3.96986e-06	1.59095e-05	314275.0	4.419e-06	1.76135e-05	283870.0
5010	4.30837e-06	1.72096e-05	290533.0	4.02272e-06	1.60357e-05	311801.0
6010	4.43071e-06	1.7712e-05	282292.0	4.17656e-06	1.66484e-05	300327.0
7010	4.10264e-06	1.64044e-05	304793.0	4.51626e-06	1.81759e-05	275087.0
8010	4.64901e-06	1.85763e-05	269158.0	4.39828e-06	1.75387e-05	285081.0
9010	4.22089e-06	1.68591e-05	296573.0	4.0781e-06	1.63274e-05	306232.0
10010	4.45273e-06	1.78894e-05	279492.0	3.63224e-06	1.44778e-05	345353.0
