Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.75057e-06	1.10006e-05	454517.0	2.79843e-06	1.12897e-05	442878.0
1010	2.53856e-06	1.01569e-05	492274.0	2.51834e-06	1.00947e-05	495307.0
2010	2.78716e-06	1.1147e-05	448549.0	2.94716e-06	1.17766e-05	424568.0
3010	2.73834e-06	1.09378e-05	457126.0	2.48259e-06	9.94884e-06	502569.0
4010	2.92378e-06	1.16977e-05	427433.0	2.31886e-06	9.27202e-06	539254.0
5010	2.54888e-06	1.01831e-05	491005.0	2.41174e-06	9.67247e-06	516929.0
6010	2.71916e-06	1.08644e-05	460218.0	2.45269e-06	9.84397e-06	507923.0
7010	2.618e-06	1.04578e-05	478109.0	2.77376e-06	1.10554e-05	452265.0
8010	2.82393e-06	1.12807e-05	443233.0	2.92276e-06	1.16995e-05	427366.0
9010	2.66516e-06	1.06502e-05	469474.0	2.46773e-06	9.83729e-06	508267.0
10010	2.65088e-06	1.06524e-05	469377.0	2.62663e-06	1.05668e-05	473177.0
