Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.33256e-06	9.32201e-06	536362.0	2.54507e-06	1.01633e-05	491964.0
1010	2.32929e-06	9.33929e-06	535370.0	2.51896e-06	1.00401e-05	497999.0
2010	2.34644e-06	9.39215e-06	532357.0	2.44192e-06	9.74043e-06	513322.0
3010	2.42917e-06	9.70697e-06	515092.0	2.449e-06	9.83759e-06	508252.0
4010	2.62386e-06	1.04806e-05	477070.0	2.42592e-06	9.74363e-06	513153.0
5010	2.62462e-06	1.04864e-05	476804.0	2.66007e-06	1.06072e-05	471374.0
6010	2.31296e-06	9.31941e-06	536512.0	2.74906e-06	1.10083e-05	454202.0
7010	2.42405e-06	9.74587e-06	513035.0	2.53189e-06	1.01959e-05	490390.0
8010	2.41254e-06	9.68711e-06	516147.0	2.60443e-06	1.03893e-05	481260.0
9010	2.392e-06	9.56235e-06	522882.0	2.24306e-06	8.97256e-06	557252.0
10010	2.36712e-06	9.52994e-06	524660.0	2.32446e-06	9.26555e-06	539631.0
