Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.40317e-06	9.60679e-06	520463.0	1.95184e-06	7.77974e-06	642693.0
1010	2.49082e-06	9.94907e-06	502557.0	1.88381e-06	7.55204e-06	662070.0
2010	2.38281e-06	9.52339e-06	525021.0	2.66781e-06	1.06394e-05	469949.0
3010	2.57767e-06	1.02957e-05	485635.0	2.44581e-06	9.76738e-06	511905.0
4010	2.34847e-06	9.38192e-06	532937.0	2.74608e-06	1.09513e-05	456562.0
5010	2.60936e-06	1.04361e-05	479104.0	2.78324e-06	1.11103e-05	450029.0
6010	2.26251e-06	9.11761e-06	548387.0	2.61709e-06	1.05957e-05	471885.0
7010	2.56152e-06	1.02364e-05	488451.0	2.38151e-06	9.62866e-06	519280.0
8010	2.38168e-06	9.51551e-06	525455.0	2.6961e-06	1.07587e-05	464737.0
9010	2.24137e-06	8.966e-06	557660.0	2.66407e-06	1.06182e-05	470886.0
10010	2.82492e-06	1.12852e-05	443057.0	2.4183e-06	9.64005e-06	518667.0
