Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	4.41721e-06	1.76656e-05	283033.0	4.0392e-06	1.61335e-05	309911.0
1010	3.34192e-06	1.33494e-05	374545.0	3.31953e-06	1.32332e-05	377836.0
2010	3.35949e-06	1.34369e-05	372107.0	3.12379e-06	1.24598e-05	401287.0
3010	3.27401e-06	1.31309e-05	380779.0	2.67654e-06	1.07164e-05	466571.0
4010	3.29092e-06	1.31994e-05	378803.0	3.23657e-06	1.29125e-05	387219.0
5010	3.3678e-06	1.34517e-05	371699.0	2.90886e-06	1.16405e-05	429533.0
6010	3.37258e-06	1.35264e-05	369646.0	3.64676e-06	1.45385e-05	343912.0
7010	3.24812e-06	1.29782e-05	385259.0	3.36966e-06	1.34393e-05	372042.0
8010	3.35422e-06	1.34561e-05	371577.0	2.891e-06	1.15595e-05	432543.0
9010	3.06427e-06	1.22462e-05	408289.0	3.21544e-06	1.28463e-05	389214.0
10010	2.93835e-06	1.17813e-05	424398.0	3.44247e-06	1.37964e-05	362412.0
