Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	5.69565e-05	0.000227901	21936.8	3.13434e-05	0.000125647	39791.7
1010	1.07888e-05	4.31086e-05	115984.0	1.09565e-05	4.36712e-05	114489.0
2010	1.17261e-05	4.68928e-05	106624.0	9.80197e-06	3.93918e-05	126928.0
3010	1.00095e-05	4.02066e-05	124355.0	8.9139e-06	3.5585e-05	140506.0
4010	1.02121e-05	4.08233e-05	122477.0	9.24143e-06	3.68415e-05	135714.0
5010	1.18816e-05	4.7468e-05	105332.0	9.54683e-06	3.81105e-05	131195.0
6010	1.07412e-05	4.29944e-05	116292.0	9.28058e-06	3.73745e-05	133779.0
7010	1.06995e-05	4.27898e-05	116848.0	9.73587e-06	3.88206e-05	128795.0
8010	1.16456e-05	4.68035e-05	106827.0	8.53782e-06	3.40319e-05	146918.0
9010	1.07678e-05	4.30457e-05	116153.0	9.69184e-06	3.87539e-05	129017.0
10010	9.81224e-06	3.92323e-05	127444.0	1.0109e-05	4.02919e-05	124092.0
