Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	2.73604e-06	1.09667e-05	455921.0	2.57683e-06	1.02711e-05	486801.0
1010	2.50687e-06	1.00184e-05	499081.0	2.75911e-06	1.10518e-05	452411.0
2010	2.4897e-06	9.94596e-06	502714.0	2.79163e-06	1.124e-05	444838.0
3010	2.71394e-06	1.0846e-05	460998.0	2.7752e-06	1.11092e-05	450074.0
4010	2.78313e-06	1.11271e-05	449349.0	2.42289e-06	9.68399e-06	516314.0
5010	2.63423e-06	1.05355e-05	474582.0	2.74708e-06	1.10007e-05	454515.0
6010	2.68429e-06	1.07298e-05	465991.0	2.79168e-06	1.11339e-05	449074.0
7010	2.33598e-06	9.33305e-06	535728.0	2.74455e-06	1.10901e-05	450851.0
8010	2.60115e-06	1.04071e-05	480438.0	2.53198e-06	1.00918e-05	495450.0
9010	2.74221e-06	1.09531e-05	456491.0	2.51642e-06	1.00298e-05	498512.0
10010	2.64649e-06	1.05712e-05	472982.0	2.57303e-06	1.02925e-05	485786.0
