Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	6.95861e-06	2.80857e-05	178024.0	6.69064e-06	2.67991e-05	186571.0
1010	4.64823e-06	1.85673e-05	269288.0	4.60195e-06	1.8463e-05	270809.0
2010	4.75444e-06	1.90147e-05	262952.0	3.51684e-06	1.4044e-05	356022.0
3010	3.98033e-06	1.59071e-05	314322.0	3.99399e-06	1.61654e-05	309301.0
4010	4.84951e-06	1.9371e-05	258115.0	4.47848e-06	1.82922e-05	273337.0
5010	4.81651e-06	1.92444e-05	259813.0	4.98503e-06	1.98747e-05	251574.0
6010	4.48045e-06	1.79221e-05	278983.0	4.10144e-06	1.64364e-05	304201.0
7010	4.34479e-06	1.73813e-05	287662.0	3.6988e-06	1.47424e-05	339155.0
8010	4.77126e-06	1.90675e-05	262223.0	4.98711e-06	1.99666e-05	250416.0
9010	4.40369e-06	1.75916e-05	284224.0	4.1529e-06	1.6659e-05	300136.0
10010	4.06249e-06	1.62582e-05	307535.0	4.55233e-06	1.82971e-05	273265.0
