Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
10	4.56718e-06	1.8413e-05	271545.0	4.60491e-06	1.83902e-05	271881.0
1010	3.45429e-06	1.37988e-05	362347.0	3.30734e-06	1.3199e-05	378813.0
2010	3.24909e-06	1.29781e-05	385262.0	2.56048e-06	1.02325e-05	488636.0
3010	3.33619e-06	1.33265e-05	375190.0	3.29923e-06	1.31503e-05	380216.0
4010	3.06252e-06	1.22481e-05	408226.0	3.30388e-06	1.31701e-05	379645.0
5010	3.82174e-06	1.52672e-05	327496.0	3.55731e-06	1.41893e-05	352375.0
6010	3.17256e-06	1.27543e-05	392022.0	3.06258e-06	1.23036e-05	406381.0
7010	3.42826e-06	1.3694e-05	365121.0	3.21439e-06	1.28457e-05	389232.0
8010	2.97728e-06	1.19087e-05	419859.0	3.29865e-06	1.31715e-05	379606.0
9010	3.66412e-06	1.46888e-05	340392.0	3.56524e-06	1.42634e-05	350544.0
10010	3.21904e-06	1.28575e-05	388876.0	3.30866e-06	1.3197e-05	378872.0
