Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2499	2.86622e-07	1.14834e-06	435410.0	2.76815e-07	1.10392e-06	452932.0
2500	2.7867e-07	1.11359e-06	449000.0	2.26067e-07	9.02725e-07	553878.0
2501	3.05969e-07	1.22318e-06	408771.0	3.20553e-07	1.28541e-06	388980.0
2502	2.69977e-07	1.07839e-06	463655.0	3.08388e-07	1.22918e-06	406775.0
2503	2.75455e-07	1.1025e-06	453513.0	2.73832e-07	1.09142e-06	458120.0
2504	2.93739e-07	1.17491e-06	425566.0	2.67729e-07	1.07248e-06	466210.0
2505	2.50144e-07	1.0024e-06	498804.0	2.47191e-07	9.85908e-07	507147.0
2506	2.73039e-07	1.0934e-06	457288.0	2.98838e-07	1.19209e-06	419430.0
2507	2.78099e-07	1.11274e-06	449343.0	3.03469e-07	1.23309e-06	405484.0
2508	2.97719e-07	1.18976e-06	420252.0	2.77514e-07	1.11511e-06	448387.0
2509	2.67806e-07	1.0697e-06	467418.0	2.55394e-07	1.02425e-06	488164.0
2510	2.92915e-07	1.17053e-06	427157.0	3.13409e-07	1.24939e-06	400196.0
