Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2499	3.12671e-07	1.25062e-06	399801.0	3.15507e-07	1.27335e-06	392664.0
2500	2.78515e-07	1.11318e-06	449162.0	3.01105e-07	1.20212e-06	415933.0
2501	5.14292e-07	2.05735e-06	243030.0	5.08334e-07	2.02643e-06	246740.0
2502	3.27672e-07	1.30969e-06	381768.0	3.17628e-07	1.2703e-06	393609.0
2503	3.33747e-07	1.33317e-06	375044.0	2.97119e-07	1.19398e-06	418768.0
2504	2.71853e-07	1.08612e-06	460355.0	3.11399e-07	1.24506e-06	401586.0
2505	2.83898e-07	1.1378e-06	439445.0	2.58072e-07	1.02876e-06	486022.0
2506	3.58039e-07	1.43272e-06	348987.0	3.63169e-07	1.44864e-06	345152.0
2507	3.56824e-07	1.4307e-06	349478.0	3.21392e-07	1.28333e-06	389612.0
2508	3.472e-07	1.38714e-06	360454.0	2.73677e-07	1.0967e-06	455914.0
2509	2.97899e-07	1.19136e-06	419688.0	2.88841e-07	1.15124e-06	434314.0
2510	2.97935e-07	1.19142e-06	419665.0	2.76081e-07	1.10335e-06	453164.0
