Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2499	2.63839e-07	1.0567e-06	473169.0	2.64931e-07	1.0563e-06	473351.0
2500	2.82303e-07	1.12888e-06	442915.0	2.97803e-07	1.20883e-06	413624.0
2501	2.63542e-07	1.05265e-06	474992.0	2.63037e-07	1.04839e-06	476921.0
2502	2.68837e-07	1.0738e-06	465636.0	2.47974e-07	9.89392e-07	505361.0
2503	2.41961e-07	9.68935e-07	516030.0	2.42987e-07	9.68635e-07	516190.0
2504	2.70001e-07	1.07846e-06	463623.0	2.42985e-07	9.71724e-07	514549.0
2505	2.31065e-07	9.25321e-07	540353.0	2.31112e-07	9.21374e-07	542667.0
2506	2.44137e-07	9.75358e-07	512632.0	2.85493e-07	1.14202e-06	437821.0
2507	2.56071e-07	1.02963e-06	485610.0	2.3279e-07	9.2854e-07	538480.0
2508	2.46954e-07	9.88166e-07	505988.0	2.6033e-07	1.03803e-06	481679.0
2509	2.65856e-07	1.06195e-06	470832.0	2.61316e-07	1.04496e-06	478488.0
2510	2.59752e-07	1.04001e-06	480766.0	2.76273e-07	1.10196e-06	453735.0
