Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2499	2.90691e-07	1.16809e-06	428050.0	2.57143e-07	1.04745e-06	477352.0
2500	2.5512e-07	1.01902e-06	490665.0	2.641e-07	1.05293e-06	474867.0
2501	2.57662e-07	1.03008e-06	485400.0	2.94173e-07	1.17275e-06	426349.0
2502	2.68622e-07	1.07356e-06	465740.0	2.67745e-07	1.0672e-06	468517.0
2503	2.76981e-07	1.11014e-06	450394.0	2.40665e-07	9.60241e-07	520702.0
2504	2.73522e-07	1.09832e-06	455242.0	2.75005e-07	1.0987e-06	455082.0
2505	2.56321e-07	1.02491e-06	487846.0	2.39034e-07	9.53075e-07	524618.0
2506	2.52724e-07	1.00998e-06	495059.0	2.74463e-07	1.09464e-06	456771.0
2507	2.58819e-07	1.03419e-06	483471.0	2.37422e-07	9.47131e-07	527910.0
2508	2.40082e-07	9.58949e-07	521404.0	2.59357e-07	1.03423e-06	483449.0
2509	2.66911e-07	1.07e-06	467288.0	2.50433e-07	1.00604e-06	496999.0
2510	2.59766e-07	1.0381e-06	481650.0	2.27033e-07	9.05293e-07	552307.0
