Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2499	2.96287e-07	1.18384e-06	422353.0	2.91745e-07	1.16301e-06	429920.0
2500	2.77356e-07	1.10854e-06	451042.0	3.08349e-07	1.23843e-06	403738.0
2501	2.9228e-07	1.1708e-06	427058.0	2.94582e-07	1.18172e-06	423111.0
2502	2.99832e-07	1.19771e-06	417462.0	3.09172e-07	1.23717e-06	404149.0
2503	2.9316e-07	1.17133e-06	426865.0	2.8593e-07	1.14004e-06	438582.0
2504	2.90379e-07	1.16031e-06	430919.0	2.66893e-07	1.06486e-06	469546.0
2505	2.86398e-07	1.14394e-06	437087.0	2.72486e-07	1.08764e-06	459710.0
2506	3.00995e-07	1.20509e-06	414908.0	2.91205e-07	1.16231e-06	430176.0
2507	2.90707e-07	1.16861e-06	427857.0	2.35146e-07	9.38134e-07	532973.0
2508	2.51709e-07	1.00538e-06	497323.0	2.81449e-07	1.12215e-06	445571.0
2509	2.43995e-07	9.74668e-07	512995.0	2.63389e-07	1.05172e-06	475411.0
2510	2.83176e-07	1.13159e-06	441857.0	2.65525e-07	1.05834e-06	472438.0
