Time	af_var_linked	linked_F	linked_Ne	af_var_unlinked	unlinked_F	unlinked_Ne
2500	0.000327516	0.00130928	381.64	0.000289635	0.00115973	430.884
2501	2.55169e-07	1.01999e-06	490201.0	2.48799e-07	9.93584e-07	503228.0
2502	2.52624e-07	1.01029e-06	494905.0	2.65279e-07	1.05985e-06	471765.0
2503	2.31373e-07	9.24824e-07	540643.0	2.37472e-07	9.48194e-07	527318.0
2504	2.32702e-07	9.30739e-07	537207.0	2.43901e-07	9.76191e-07	512195.0
2505	2.52005e-07	1.00742e-06	496315.0	2.59994e-07	1.03859e-06	481424.0
2506	2.53208e-07	1.01235e-06	493902.0	2.45863e-07	9.83877e-07	508193.0
2507	2.55501e-07	1.02133e-06	489558.0	2.42986e-07	9.70517e-07	515189.0
2508	2.58209e-07	1.03445e-06	483349.0	2.98715e-07	1.19334e-06	418991.0
2509	2.44141e-07	9.7588e-07	512358.0	2.33434e-07	9.32268e-07	536326.0
2510	2.45995e-07	9.83954e-07	508153.0	2.75129e-07	1.09917e-06	454889.0
